Time: 2021-12-31 01:05, Log: waterLV:402
Time: 2021-12-31 14:45, Log: waterLV:292
Time: 2021-12-31 14:50, Log: waterLV:295
Time: 2021-12-31 14:55, Log: waterLV:292
Time: 2021-12-31 15:00, Log: waterLV:288
Time: 2021-12-31 15:05, Log: waterLV:294
Time: 2021-12-31 15:10, Log: waterLV:288
Time: 2021-12-31 15:15, Log: waterLV:290
Time: 2021-12-31 15:20, Log: waterLV:287
Time: 2021-12-31 15:25, Log: waterLV:289
Time: 2021-12-31 15:30, Log: waterLV:289
Time: 2021-12-31 15:35, Log: waterLV:292
Time: 2021-12-31 15:40, Log: waterLV:290
Time: 2021-12-31 15:45, Log: waterLV:287
Time: 2021-12-31 15:50, Log: waterLV:287
Time: 2021-12-31 15:55, Log: waterLV:282
Time: 2021-12-31 16:00, Log: waterLV:283
Time: 2021-12-31 16:05, Log: waterLV:286
Time: 2021-12-31 16:10, Log: waterLV:283
Time: 2021-12-31 16:15, Log: waterLV:281
Time: 2021-12-31 16:20, Log: waterLV:279
Time: 2021-12-31 16:25, Log: waterLV:273
Time: 2021-12-31 16:30, Log: waterLV:271
Time: 2021-12-31 16:35, Log: waterLV:276
Time: 2021-12-31 16:40, Log: waterLV:275
Time: 2021-12-31 16:45, Log: waterLV:270
Time: 2021-12-31 16:50, Log: waterLV:269
Time: 2021-12-31 16:55, Log: waterLV:275
Time: 2021-12-31 17:00, Log: waterLV:274
Time: 2021-12-31 17:05, Log: waterLV:269
Time: 2021-12-31 17:10, Log: waterLV:267
Time: 2021-12-31 17:15, Log: waterLV:271
Time: 2021-12-31 17:20, Log: waterLV:267
Time: 2021-12-31 17:25, Log: waterLV:270
Time: 2021-12-31 17:30, Log: waterLV:270
Time: 2021-12-31 17:35, Log: waterLV:271
Time: 2021-12-31 17:40, Log: waterLV:271
Time: 2021-12-31 17:45, Log: waterLV:265
Time: 2021-12-31 17:50, Log: waterLV:264
Time: 2021-12-31 17:55, Log: waterLV:262
Time: 2021-12-31 18:00, Log: waterLV:261
Time: 2021-12-31 18:05, Log: waterLV:265
Time: 2021-12-31 18:10, Log: waterLV:263
Time: 2021-12-31 18:15, Log: waterLV:263
Time: 2021-12-31 18:20, Log: waterLV:266
Time: 2021-12-31 18:25, Log: waterLV:263
Time: 2021-12-31 18:30, Log: waterLV:260
Time: 2021-12-31 18:35, Log: waterLV:254
Time: 2021-12-31 18:40, Log: waterLV:254
Time: 2021-12-31 18:45, Log: waterLV:252
Time: 2021-12-31 18:50, Log: waterLV:257
Time: 2021-12-31 18:55, Log: waterLV:253
Time: 2021-12-31 19:00, Log: waterLV:250
Time: 2021-12-31 19:05, Log: waterLV:250
Time: 2021-12-31 19:10, Log: waterLV:252
Time: 2021-12-31 19:15, Log: waterLV:245
Time: 2021-12-31 19:20, Log: waterLV:249
Time: 2021-12-31 19:25, Log: waterLV:246
Time: 2021-12-31 19:30, Log: waterLV:251
Time: 2021-12-31 19:35, Log: waterLV:251
Time: 2021-12-31 19:40, Log: waterLV:245
Time: 2021-12-31 19:45, Log: waterLV:249
Time: 2021-12-31 19:50, Log: waterLV:248
Time: 2021-12-31 19:55, Log: waterLV:248
Time: 2021-12-31 20:00, Log: waterLV:244
Time: 2021-12-31 20:05, Log: waterLV:248
Time: 2021-12-31 20:10, Log: waterLV:247
Time: 2021-12-31 20:15, Log: waterLV:247
Time: 2021-12-31 20:20, Log: waterLV:242
Time: 2021-12-31 20:25, Log: waterLV:243
Time: 2021-12-31 20:30, Log: waterLV:244
Time: 2021-12-31 20:35, Log: waterLV:242
Time: 2021-12-31 20:40, Log: waterLV:244
Time: 2021-12-31 20:45, Log: waterLV:242
Time: 2021-12-31 20:50, Log: waterLV:248
Time: 2021-12-31 20:55, Log: waterLV:245
Time: 2021-12-31 21:00, Log: waterLV:248
Time: 2021-12-31 21:01, Log: test
Time: 2021-12-31 21:04, Log: test
Time: 2021-12-31 21:05, Log: waterLV:253
Time: 2021-12-31 21:06, Log: test
Time: 2021-12-31 21:08, Log: test
Time: 2021-12-31 21:10, Log: waterLV:250
Time: 2021-12-31 21:15, Log: waterLV:256
Time: 2021-12-31 21:20, Log: waterLV:252
Time: 2021-12-31 21:25, Log: waterLV:254
Time: 2021-12-31 21:30, Log: waterLV:257
Time: 2021-12-31 21:35, Log: waterLV:256
Time: 2021-12-31 21:40, Log: waterLV:263
Time: 2021-12-31 21:45, Log: waterLV:257
Time: 2021-12-31 21:50, Log: waterLV:261
Time: 2021-12-31 21:55, Log: waterLV:257
Time: 2021-12-31 22:00, Log: waterLV:259
Time: 2021-12-31 22:05, Log: waterLV:259
Time: 2021-12-31 22:10, Log: waterLV:260
Time: 2021-12-31 22:15, Log: waterLV:258
Time: 2021-12-31 22:20, Log: waterLV:259
Time: 2021-12-31 22:25, Log: waterLV:262
Time: 2021-12-31 22:30, Log: waterLV:263
Time: 2021-12-31 22:35, Log: waterLV:262
Time: 2021-12-31 22:40, Log: waterLV:262
Time: 2021-12-31 22:45, Log: waterLV:261
Time: 2021-12-31 22:50, Log: waterLV:262
Time: 2021-12-31 22:55, Log: waterLV:263
Time: 2021-12-31 23:00, Log: waterLV:266
Time: 2021-12-31 23:05, Log: waterLV:258
Time: 2021-12-31 23:10, Log: waterLV:265
Time: 2021-12-31 23:15, Log: waterLV:264
Time: 2021-12-31 23:20, Log: waterLV:259
Time: 2021-12-31 23:25, Log: waterLV:258
Time: 2021-12-31 23:30, Log: waterLV:255
Time: 2021-12-31 23:35, Log: waterLV:260
Time: 2021-12-31 23:40, Log: waterLV:261
Time: 2021-12-31 23:45, Log: waterLV:256
Time: 2021-12-31 23:50, Log: waterLV:255
Time: 2021-12-31 23:55, Log: waterLV:258
Time: 2022-01-01 00:00, Log: waterLV:257
Time: 2022-01-01 00:05, Log: waterLV:255
Time: 2022-01-01 00:10, Log: waterLV:253
Time: 2022-01-01 00:15, Log: waterLV:255
Time: 2022-01-01 00:20, Log: waterLV:253
Time: 2022-01-01 00:25, Log: waterLV:252
Time: 2022-01-01 00:30, Log: waterLV:249
Time: 2022-01-01 00:35, Log: waterLV:252
Time: 2022-01-01 00:40, Log: waterLV:254
Time: 2022-01-01 00:45, Log: waterLV:249
Time: 2022-01-01 00:50, Log: waterLV:253
Time: 2022-01-01 00:55, Log: waterLV:253
Time: 2022-01-01 01:00, Log: waterLV:251
Time: 2022-01-01 01:05, Log: waterLV:253
Time: 2022-01-01 01:10, Log: waterLV:246
Time: 2022-01-01 01:15, Log: waterLV:246
Time: 2022-01-01 01:20, Log: waterLV:249
Time: 2022-01-01 01:25, Log: waterLV:243
Time: 2022-01-01 01:30, Log: waterLV:245
Time: 2022-01-01 01:35, Log: waterLV:248
Time: 2022-01-01 01:40, Log: waterLV:241
Time: 2022-01-01 01:45, Log: waterLV:247
Time: 2022-01-01 01:50, Log: waterLV:249
Time: 2022-01-01 01:55, Log: waterLV:245
Time: 2022-01-01 02:00, Log: waterLV:246
Time: 2022-01-01 02:05, Log: waterLV:241
Time: 2022-01-01 02:10, Log: waterLV:239
Time: 2022-01-01 02:15, Log: waterLV:241
Time: 2022-01-01 02:20, Log: waterLV:235
Time: 2022-01-01 02:25, Log: waterLV:236
Time: 2022-01-01 02:30, Log: waterLV:236
Time: 2022-01-01 02:35, Log: waterLV:236
Time: 2022-01-01 02:40, Log: waterLV:237
Time: 2022-01-01 02:45, Log: waterLV:238
Time: 2022-01-01 02:50, Log: waterLV:240
Time: 2022-01-01 02:55, Log: waterLV:251
Time: 2022-01-01 03:00, Log: waterLV:242
Time: 2022-01-01 03:05, Log: waterLV:244
Time: 2022-01-01 03:10, Log: waterLV:243
Time: 2022-01-01 03:15, Log: waterLV:248
Time: 2022-01-01 03:20, Log: waterLV:252
Time: 2022-01-01 03:25, Log: waterLV:250
Time: 2022-01-01 03:30, Log: waterLV:255
Time: 2022-01-01 03:35, Log: waterLV:259
Time: 2022-01-01 03:40, Log: waterLV:253
Time: 2022-01-01 03:45, Log: waterLV:253
Time: 2022-01-01 03:50, Log: waterLV:275
Time: 2022-01-01 03:55, Log: waterLV:293
Time: 2022-01-01 04:00, Log: waterLV:300
Time: 2022-01-01 04:05, Log: waterLV:309
Time: 2022-01-01 04:10, Log: waterLV:319
Time: 2022-01-01 04:15, Log: waterLV:312
Time: 2022-01-01 04:20, Log: waterLV:320
Time: 2022-01-01 04:25, Log: waterLV:318
Time: 2022-01-01 04:30, Log: waterLV:326
Time: 2022-01-01 04:35, Log: waterLV:333
Time: 2022-01-01 04:40, Log: waterLV:335
Time: 2022-01-01 04:45, Log: waterLV:347
Time: 2022-01-01 04:50, Log: waterLV:347
Time: 2022-01-01 04:55, Log: waterLV:248
Time: 2022-01-01 05:00, Log: waterLV:237
Time: 2022-01-01 05:05, Log: waterLV:236
Time: 2022-01-01 05:10, Log: waterLV:241
Time: 2022-01-01 05:15, Log: waterLV:241
Time: 2022-01-01 05:20, Log: waterLV:234
Time: 2022-01-01 05:25, Log: waterLV:235
Time: 2022-01-01 05:30, Log: waterLV:236
Time: 2022-01-01 05:35, Log: waterLV:235
Time: 2022-01-01 05:40, Log: waterLV:237
Time: 2022-01-01 05:45, Log: waterLV:233
Time: 2022-01-01 05:50, Log: waterLV:235
Time: 2022-01-01 05:55, Log: waterLV:236
Time: 2022-01-01 06:00, Log: waterLV:231
Time: 2022-01-01 06:05, Log: waterLV:240
Time: 2022-01-01 06:10, Log: waterLV:232
Time: 2022-01-01 06:15, Log: waterLV:236
Time: 2022-01-01 06:20, Log: waterLV:232
Time: 2022-01-01 06:25, Log: waterLV:237
Time: 2022-01-01 06:30, Log: waterLV:236
Time: 2022-01-01 06:35, Log: waterLV:239
Time: 2022-01-01 06:40, Log: waterLV:240
Time: 2022-01-01 06:45, Log: waterLV:236
Time: 2022-01-01 06:50, Log: waterLV:243
Time: 2022-01-01 06:55, Log: waterLV:233
Time: 2022-01-01 07:00, Log: waterLV:360
Time: 2022-01-01 07:05, Log: waterLV:434
Time: 2022-01-01 07:10, Log: waterLV:266
Time: 2022-01-01 07:15, Log: waterLV:247
Time: 2022-01-01 07:20, Log: waterLV:241
Time: 2022-01-01 07:25, Log: waterLV:244
Time: 2022-01-01 07:30, Log: waterLV:321
Time: 2022-01-01 07:35, Log: waterLV:337
Time: 2022-01-01 07:40, Log: waterLV:247
Time: 2022-01-01 07:45, Log: waterLV:245
Time: 2022-01-01 07:50, Log: waterLV:246
Time: 2022-01-01 07:55, Log: waterLV:250
Time: 2022-01-01 08:00, Log: waterLV:313
Time: 2022-01-01 08:05, Log: waterLV:305
Time: 2022-01-01 08:10, Log: waterLV:314
Time: 2022-01-01 08:15, Log: waterLV:310
Time: 2022-01-01 08:20, Log: waterLV:309
Time: 2022-01-01 08:25, Log: waterLV:304
Time: 2022-01-01 08:30, Log: waterLV:312
Time: 2022-01-01 08:35, Log: waterLV:315
Time: 2022-01-01 08:40, Log: waterLV:339
Time: 2022-01-01 08:45, Log: waterLV:335
Time: 2022-01-01 08:50, Log: waterLV:341
Time: 2022-01-01 08:55, Log: waterLV:345
Time: 2022-01-01 09:00, Log: waterLV:351
Time: 2022-01-01 09:05, Log: waterLV:358
Time: 2022-01-01 09:10, Log: waterLV:350
Time: 2022-01-01 09:15, Log: waterLV:347
Time: 2022-01-01 09:20, Log: waterLV:339
Time: 2022-01-01 09:25, Log: waterLV:282
Time: 2022-01-01 09:30, Log: waterLV:259
Time: 2022-01-01 09:35, Log: waterLV:260
Time: 2022-01-01 09:40, Log: waterLV:249
Time: 2022-01-01 09:45, Log: waterLV:250
Time: 2022-01-01 09:50, Log: waterLV:429
Time: 2022-01-01 09:55, Log: waterLV:439
Time: 2022-01-01 10:00, Log: waterLV:417
Time: 2022-01-01 10:05, Log: waterLV:417
Time: 2022-01-01 10:10, Log: waterLV:433
Time: 2022-01-01 10:15, Log: waterLV:430
Time: 2022-01-01 10:20, Log: waterLV:427
Time: 2022-01-01 10:25, Log: waterLV:437
Time: 2022-01-01 10:30, Log: waterLV:449
Time: 2022-01-01 10:35, Log: waterLV:479
Time: 2022-01-01 10:40, Log: waterLV:504
Time: 2022-01-01 10:45, Log: waterLV:523
Time: 2022-01-01 10:45, Log: pumped
Time: 2022-01-01 10:50, Log: waterLV:521
Time: 2022-01-01 10:50, Log: pumped
Time: 2022-01-01 10:55, Log: waterLV:546
Time: 2022-01-01 10:55, Log: pumped
Time: 2022-01-01 11:00, Log: waterLV:567
Time: 2022-01-01 11:00, Log: pumped
Time: 2022-01-01 11:05, Log: waterLV:578
Time: 2022-01-01 11:05, Log: pumped
Time: 2022-01-01 11:10, Log: waterLV:573
Time: 2022-01-01 11:10, Log: pumped
Time: 2022-01-01 11:15, Log: waterLV:596
Time: 2022-01-01 11:15, Log: pumped
Time: 2022-01-01 11:20, Log: waterLV:605
Time: 2022-01-01 11:20, Log: pumped
Time: 2022-01-01 11:25, Log: waterLV:616
Time: 2022-01-01 11:25, Log: pumped
Time: 2022-01-01 11:30, Log: waterLV:617
Time: 2022-01-01 11:30, Log: pumped
Time: 2022-01-01 11:35, Log: waterLV:626
Time: 2022-01-01 11:35, Log: pumped
Time: 2022-01-01 11:40, Log: waterLV:620
Time: 2022-01-01 11:40, Log: pumped
Time: 2022-01-01 11:45, Log: waterLV:640
Time: 2022-01-01 11:45, Log: pumped
Time: 2022-01-01 11:50, Log: waterLV:637
Time: 2022-01-01 11:50, Log: pumped
Time: 2022-01-01 11:55, Log: waterLV:642
Time: 2022-01-01 11:55, Log: pumped
Time: 2022-01-01 12:00, Log: waterLV:643
Time: 2022-01-01 12:00, Log: pumped
Time: 2022-01-01 12:05, Log: waterLV:650
Time: 2022-01-01 12:05, Log: pumped
Time: 2022-01-01 12:10, Log: waterLV:645
Time: 2022-01-01 12:10, Log: pumped
Time: 2022-01-01 12:15, Log: waterLV:641
Time: 2022-01-01 12:15, Log: pumped
Time: 2022-01-01 12:20, Log: waterLV:649
Time: 2022-01-01 12:20, Log: pumped
Time: 2022-01-01 12:25, Log: waterLV:680
Time: 2022-01-01 12:25, Log: pumped
Time: 2022-01-01 12:30, Log: waterLV:687
Time: 2022-01-01 12:30, Log: pumped
Time: 2022-01-01 12:35, Log: waterLV:685
Time: 2022-01-01 12:35, Log: pumped
Time: 2022-01-01 12:40, Log: waterLV:690
Time: 2022-01-01 12:40, Log: pumped
Time: 2022-01-01 12:45, Log: waterLV:692
Time: 2022-01-01 12:45, Log: pumped
Time: 2022-01-01 12:50, Log: waterLV:688
Time: 2022-01-01 12:50, Log: pumped
Time: 2022-01-01 12:55, Log: waterLV:690
Time: 2022-01-01 12:55, Log: pumped
Time: 2022-01-01 13:00, Log: waterLV:691
Time: 2022-01-01 13:00, Log: pumped
Time: 2022-01-01 13:05, Log: waterLV:684
Time: 2022-01-01 13:05, Log: pumped
Time: 2022-01-01 13:10, Log: waterLV:686
Time: 2022-01-01 13:10, Log: pumped
Time: 2022-01-01 13:15, Log: waterLV:686
Time: 2022-01-01 13:15, Log: pumped
Time: 2022-01-01 13:20, Log: waterLV:681
Time: 2022-01-01 13:20, Log: pumped
Time: 2022-01-01 13:25, Log: waterLV:684
Time: 2022-01-01 13:25, Log: pumped
Time: 2022-01-01 13:30, Log: waterLV:687
Time: 2022-01-01 13:30, Log: pumped
Time: 2022-01-01 13:35, Log: waterLV:689
Time: 2022-01-01 13:35, Log: pumped
Time: 2022-01-01 13:40, Log: waterLV:690
Time: 2022-01-01 13:40, Log: pumped
Time: 2022-01-01 13:45, Log: waterLV:688
Time: 2022-01-01 13:45, Log: pumped
Time: 2022-01-01 13:50, Log: waterLV:685
Time: 2022-01-01 13:50, Log: pumped
Time: 2022-01-01 13:55, Log: waterLV:687
Time: 2022-01-01 13:55, Log: pumped
Time: 2022-01-01 14:00, Log: waterLV:687
Time: 2022-01-01 14:00, Log: pumped
Time: 2022-01-01 14:05, Log: waterLV:685
Time: 2022-01-01 14:05, Log: pumped
Time: 2022-01-01 14:10, Log: waterLV:689
Time: 2022-01-01 14:10, Log: pumped
Time: 2022-01-01 14:15, Log: waterLV:686
Time: 2022-01-01 14:15, Log: pumped
Time: 2022-01-01 14:20, Log: waterLV:688
Time: 2022-01-01 14:20, Log: pumped
Time: 2022-01-01 14:25, Log: waterLV:686
Time: 2022-01-01 14:25, Log: pumped
Time: 2022-01-01 14:30, Log: waterLV:690
Time: 2022-01-01 14:30, Log: pumped
Time: 2022-01-01 14:35, Log: waterLV:693
Time: 2022-01-01 14:35, Log: pumped
Time: 2022-01-01 14:40, Log: waterLV:689
Time: 2022-01-01 14:40, Log: pumped
Time: 2022-01-01 14:45, Log: waterLV:688
Time: 2022-01-01 14:45, Log: pumped
Time: 2022-01-01 14:50, Log: waterLV:690
Time: 2022-01-01 14:50, Log: pumped
Time: 2022-01-01 14:55, Log: waterLV:687
Time: 2022-01-01 14:55, Log: pumped
Time: 2022-01-01 15:00, Log: waterLV:690
Time: 2022-01-01 15:00, Log: pumped
Time: 2022-01-01 15:05, Log: waterLV:691
Time: 2022-01-01 15:05, Log: pumped
Time: 2022-01-01 15:10, Log: waterLV:692
Time: 2022-01-01 15:10, Log: pumped
Time: 2022-01-01 15:15, Log: waterLV:681
Time: 2022-01-01 15:15, Log: pumped
Time: 2022-01-01 15:20, Log: waterLV:691
Time: 2022-01-01 15:20, Log: pumped
Time: 2022-01-01 15:25, Log: waterLV:692
Time: 2022-01-01 15:25, Log: pumped
Time: 2022-01-01 15:30, Log: waterLV:694
Time: 2022-01-01 15:30, Log: pumped
Time: 2022-01-01 15:35, Log: waterLV:694
Time: 2022-01-01 15:35, Log: pumped
Time: 2022-01-01 15:40, Log: waterLV:691
Time: 2022-01-01 15:40, Log: pumped
Time: 2022-01-01 15:45, Log: waterLV:690
Time: 2022-01-01 15:45, Log: pumped
Time: 2022-01-01 15:50, Log: waterLV:710
Time: 2022-01-01 15:50, Log: pumped
Time: 2022-01-01 15:55, Log: waterLV:705
Time: 2022-01-01 15:55, Log: pumped
Time: 2022-01-01 16:00, Log: waterLV:708
Time: 2022-01-01 16:00, Log: pumped
Time: 2022-01-01 16:05, Log: waterLV:705
Time: 2022-01-01 16:05, Log: pumped
Time: 2022-01-01 16:10, Log: waterLV:704
Time: 2022-01-01 16:10, Log: pumped
Time: 2022-01-01 16:15, Log: waterLV:704
Time: 2022-01-01 16:15, Log: pumped
Time: 2022-01-01 16:20, Log: waterLV:703
Time: 2022-01-01 16:20, Log: pumped
Time: 2022-01-01 16:25, Log: waterLV:681
Time: 2022-01-01 16:25, Log: pumped
Time: 2022-01-01 16:30, Log: waterLV:683
Time: 2022-01-01 16:30, Log: pumped
Time: 2022-01-01 16:35, Log: waterLV:686
Time: 2022-01-01 16:35, Log: pumped
Time: 2022-01-01 16:40, Log: waterLV:681
Time: 2022-01-01 16:40, Log: pumped
Time: 2022-01-01 16:45, Log: waterLV:686
Time: 2022-01-01 16:45, Log: pumped
Time: 2022-01-01 16:50, Log: waterLV:703
Time: 2022-01-01 16:50, Log: pumped
Time: 2022-01-01 16:55, Log: waterLV:713
Time: 2022-01-01 16:55, Log: pumped
Time: 2022-01-01 17:00, Log: waterLV:719
Time: 2022-01-01 17:00, Log: pumped
Time: 2022-01-01 17:05, Log: waterLV:714
Time: 2022-01-01 17:05, Log: pumped
Time: 2022-01-01 17:10, Log: waterLV:712
Time: 2022-01-01 17:10, Log: pumped
Time: 2022-01-01 17:15, Log: waterLV:708
Time: 2022-01-01 17:15, Log: pumped
Time: 2022-01-01 17:20, Log: waterLV:707
Time: 2022-01-01 17:20, Log: pumped
Time: 2022-01-01 17:25, Log: waterLV:707
